,date,In DATE: The painter sold an entire collection of paintings to someone because MASK made an offer that was hard to refuse.
0,1901,88.6
1,1904,89.2
2,1908,89.2
3,1912,89.4
4,1916,89.5
5,1920,90.1
6,1924,88.6
7,1928,89.3
8,1932,89.5
9,1936,89.9
10,1940,89.1
11,1944,88.6
12,1948,89.7
13,1952,88.7
14,1956,89.4
15,1960,88.0
16,1964,87.7
17,1968,87.5
18,1972,88.1
19,1976,87.4
20,1980,86.6
21,1984,86.1
22,1988,86.2
23,1992,85.6
24,1996,85.9
25,2000,84.7
26,2004,84.7
27,2008,83.5
28,2012,81.7
29,2016,79.8
