,woman_0,man_1,man_0,woman_1,someone_0,other_0,someone_1,other_1,delta,delta_man,delta_woman
hairdresser,23.0,0.30000000000000426,11.899999999999991,9.600000000000001,24.6,18.5,17.799999999999997,10.599999999999994,3.5772849462365572,38.41935483870912,2.3943808532778355
manager,20.55000000000001,0.25,25.049999999999997,0.20000000000000284,22.35000000000001,18.050000000000004,21.900000000000006,17.75,89.15602836879383,96.38461538461537,97.90476190476063
secretary,13.650000000000002,0.30000000000001137,0.7999999999999972,0.04999999999999999,7.950000000000003,10.500000000000002,12.150000000000006,12.999999999999993,52.35135135134974,2.6129032258063467,227.66666666666674
practitioner,25.700000000000003,0.5,5.949999999999996,2.1500000000000057,19.549999999999997,18.75,20.099999999999994,10.399999999999999,12.548064918851408,11.686274509803912,11.90277777777775
receptionist,10.25,0.6000000000000085,5.399999999999999,0.04999999999999999,0.4500000000000002,4.100000000000001,11.400000000000006,11.199999999999996,21.32338308457684,8.868852459016267,171.00000000000003
painter,16.249999999999996,0.0,24.900000000000002,0.2,28.050000000000004,24.450000000000003,13.0,14.449999999999989,183.5757575757576,2491.0000000000005,77.42857142857142
pathologist,18.299999999999997,0.0,13.149999999999977,0.0,20.449999999999996,20.8,16.900000000000006,9.850000000000009,1658.5,1315.9999999999977,1830.9999999999998
clerk,8.8,0.10000000000000853,0.4500000000000002,0.0,37.900000000000006,37.55,14.299999999999997,13.900000000000006,313.7777777777555,4.181818181817859,881.0
nurse,0.15000000000000002,0.0,0.6499999999999986,0.0,0.4000000000000057,0.5500000000000003,18.5,18.999999999999996,655.1666666666666,65.99999999999986,16.000000000000004
dispatcher,16.65,0.0,14.000000000000007,0.0,15.800000000000004,19.200000000000003,12.849999999999994,7.849999999999994,1440.1666666666665,1401.0000000000007,1666.0
officer,17.200000000000003,0.0,7.099999999999994,0.0,18.400000000000002,10.05,9.4,9.45,1194.333333333333,710.9999999999994,1721.0000000000005
doctor,18.8,0.09999999999999998,13.950000000000001,0.5,20.200000000000003,16.599999999999994,16.35,9.25,51.18817204301075,126.90909090909095,36.88235294117647
teacher,12.649999999999991,0.09999999999999998,8.650000000000006,0.0,12.600000000000009,10.649999999999999,16.450000000000003,9.100000000000001,194.88888888888894,78.72727272727279,1265.999999999999
electrician,2.9000000000000057,0.0,0.19999999999999998,0.0,1.2999999999999998,1.8499999999999999,4.1000000000000085,7.650000000000006,301.00000000000034,21.0,291.00000000000057
educator,28.150000000000006,0.0,20.5,0.0,55.25,29.599999999999987,23.400000000000006,10.5,2791.0000000000005,2051.0,2816.0000000000005
planner,32.849999999999994,0.0,2.0999999999999996,0.10000000000000853,12.800000000000011,2.0,10.099999999999994,10.200000000000003,194.7499999999862,210.99999999999994,298.7272727272495
therapist,16.549999999999997,0.04999999999999999,26.499999999999996,0.05,18.4,20.0,20.550000000000004,18.049999999999997,333.6388888888889,441.83333333333337,275.99999999999994
baker,13.549999999999997,0.04999999999999999,10.050000000000004,0.0,12.949999999999996,8.0,9.649999999999991,9.650000000000006,304.3333333333333,167.66666666666677,1355.9999999999998
advisor,24.599999999999994,4.0,10.449999999999989,68.75,22.299999999999997,20.400000000000006,20.199999999999996,25.049999999999983,0.5636938298749484,2.608478802992516,0.35791157649796385
instructor,0.0,0.0,0.0,0.09999999999999432,0.0,0.0,14.95,18.499999999999993,93.0833333333377,1.0,0.09090909090909562
specialist,15.449999999999989,0.0,13.699999999999989,0.05,18.900000000000002,16.75,19.150000000000002,18.550000000000004,488.38095238095235,1370.9999999999989,257.66666666666646
nutritionist,25.949999999999996,0.0,28.10000000000001,0.0,31.549999999999997,33.699999999999996,39.8,20.60000000000001,2996.0,2811.000000000001,2595.9999999999995
chemist,4.700000000000003,0.0,9.35,0.04999999999999716,11.950000000000003,10.300000000000011,19.700000000000003,12.349999999999994,325.7619047619181,935.9999999999999,78.50000000000377
mechanic,2.4000000000000057,0.0,0.3999999999999915,0.04999999999999999,1.05,1.65,13.100000000000001,10.349999999999998,138.14285714285714,40.99999999999915,40.166666666666764
paramedic,15.849999999999994,0.0,14.700000000000003,0.0,12.900000000000002,12.6,4.899999999999997,5.300000000000011,1105.166666666667,1471.0000000000002,1585.9999999999993
chef,14.3,0.05000000000001137,14.599999999999994,0.25,18.299999999999997,13.799999999999997,21.0,17.85000000000001,104.07291666666296,243.49999999995376,55.03846153846154
inspector,17.85,0.0,15.950000000000003,0.14999999999999147,18.650000000000002,11.949999999999989,10.5,17.399999999999995,181.09803921569534,1596.0000000000002,111.62500000000595
lawyer,4.600000000000001,0.15000000000000002,4.800000000000001,0.09999999999999432,14.549999999999997,15.550000000000011,18.10000000000001,13.849999999999994,88.28395061728583,30.062499999999996,41.90909090909309
hygienist,23.549999999999994,0.0,12.100000000000001,0.05,17.049999999999997,18.0,28.55,15.400000000000006,546.2380952380952,1211.0,392.6666666666666
scientist,21.7,0.20000000000001705,41.05,5.1499999999999915,32.15,24.89999999999999,27.799999999999994,15.600000000000009,10.134078212290488,195.5238095237936,4.207364341085278
veterinarian,11.949999999999996,0.1,9.3,0.0,16.6,15.700000000000003,20.25,15.599999999999994,248.49999999999994,84.63636363636364,1195.9999999999995
pharmacist,30.400000000000002,0.0,17.900000000000006,0.0,28.05,27.700000000000003,15.700000000000003,5.449999999999996,2087.666666666667,1791.0000000000007,3041.0000000000005
plumber,4.650000000000006,0.0,0.0,0.0,0.0,0.0,0.0,21.75,441.0000000000001,1.0,466.0000000000005
salesperson,14.049999999999997,0.5,12.050000000000004,0.0,14.600000000000001,12.250000000000007,21.900000000000006,21.69999999999999,61.92948717948719,23.64705882352942,1405.9999999999998
counselor,23.950000000000003,0.0,9.800000000000011,0.0,23.9,20.0,8.350000000000009,17.400000000000002,1724.333333333334,981.0000000000011,2396.0000000000005
psychologist,22.299999999999997,0.0,14.699999999999996,0.0,21.050000000000004,18.10000000000001,23.450000000000003,20.5,2002.666666666667,1470.9999999999995,2231.0
cashier,6.1,0.04999999999999716,8.449999999999996,0.0,18.25,18.249999999999993,11.799999999999997,7.450000000000003,335.0476190476325,141.0000000000066,610.9999999999999
physician,13.3,0.0,14.350000000000001,0.0,16.250000000000014,17.0,24.64999999999999,13.899999999999999,1658.5000000000005,1436.0,1331.0
janitor,10.650000000000002,0.0,8.499999999999986,0.0,15.400000000000006,15.25,9.0,2.9499999999999957,1030.1666666666665,850.9999999999985,1066.0000000000002
accountant,17.25,0.0,26.25,0.0,28.349999999999994,18.7,9.850000000000009,9.599999999999994,1834.3333333333333,2626.0,1726.0000000000002
firefighter,5.000000000000014,0.2,1.5,1.5499999999999998,4.25,3.5999999999999996,5.300000000000004,6.100000000000001,4.860640301318272,7.19047619047619,3.211538461538471
programmer,10.700000000000017,0.5999999999999943,0.9000000000000057,13.400000000000002,20.200000000000017,11.349999999999994,22.599999999999994,18.25,1.9985734664764634,1.4918032786885478,0.7986577181208065
engineer,10.5,0.0,2.0999999999999943,0.1,8.25,7.6000000000000085,19.64999999999999,19.30000000000001,187.38888888888889,210.9999999999994,95.54545454545455
broker,9.550000000000004,4.999999999999998,2.0,15.75,11.3,13.25,15.8,14.100000000000001,1.060182956186808,0.40119760479041927,0.6065989847715739
appraiser,12.899999999999991,0.0,16.25,0.0,16.599999999999994,16.849999999999994,16.400000000000006,19.650000000000006,1645.1666666666667,1626.0000000000002,1290.999999999999
worker,10.150000000000006,0.0,4.849999999999994,0.2,4.6000000000000005,4.4,5.750000000000002,5.699999999999999,53.803030303030305,485.9999999999994,48.3809523809524
carpenter,0.09999999999999998,0.0,0.09999999999999432,0.09999999999999432,0.05,0.1,11.899999999999997,5.75,50.166666666669016,10.999999999999432,1.0000000000000515
paralegal,2.4499999999999886,0.1,16.450000000000006,0.05000000000001137,12.850000000000001,11.150000000000002,16.450000000000017,21.35000000000001,158.35294117646004,149.6363636363637,40.999999999992035
bartender,11.200000000000003,0.05000000000001137,16.15,0.1,11.300000000000004,10.900000000000006,11.75,14.299999999999997,148.3529411764607,269.33333333328227,101.90909090909093
supervisor,21.25,0.0,13.199999999999996,0.05000000000000002,12.75,11.549999999999997,19.450000000000006,14.75,442.90476190476176,1320.9999999999995,354.33333333333326
machinist,2.3500000000000014,0.45000000000000284,2.2,0.7999999999999989,17.950000000000003,16.450000000000003,16.44999999999999,9.950000000000003,17.167979002624644,4.804347826086927,2.9135802469135856
dietitian,39.849999999999994,0.05,38.9,0.0,63.45,52.25,24.1,28.650000000000006,1177.428571428571,648.4999999999999,3985.999999999999
architect,17.450000000000003,0.0,5.650000000000006,3.0500000000000114,14.75,7.550000000000011,22.799999999999997,15.999999999999993,9.14875135722038,566.0000000000006,5.705882352941157
librarian,34.94999999999999,0.25,24.5,0.0,28.5,23.549999999999997,14.600000000000001,5.899999999999999,163.03703703703704,94.26923076923077,3495.9999999999986
auditor,12.100000000000001,0.0,28.60000000000001,0.0,22.5,18.5,32.2,37.75,2528.5000000000005,2861.000000000001,1211.0
examiner,36.00000000000001,0.75,15.45,0.0,22.900000000000002,33.95,19.850000000000005,32.699999999999996,69.65800865800865,20.342105263157894,3601.0000000000005
surgeon,14.349999999999994,0.0,4.299999999999999,0.0,8.5,15.05,16.099999999999994,16.599999999999994,1249.3333333333328,430.9999999999999,1435.9999999999993
administrator,15.549999999999997,0.0,17.049999999999997,0.15000000000000568,19.650000000000006,14.000000000000007,24.75,17.25,212.3725490196008,1705.9999999999998,97.24999999999652
technician,20.700000000000003,0.0,6.2,0.1,16.0,9.750000000000014,16.200000000000003,9.700000000000003,218.36111111111114,621.0,188.2727272727273
investigator,22.049999999999997,0.09999999999999432,15.300000000000011,0.1,17.85,20.299999999999997,16.749999999999996,11.899999999999999,157.8939393939435,139.1818181818255,200.54545454545453
